[2024-07-18 14:37:17,216: INFO: main: Welcome to cnnClassifier]
[2024-08-12 12:17:01,933: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-12 12:17:01,988: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-12 12:17:02,014: INFO: common: created directory at: artifacts]
[2024-08-12 12:17:02,016: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-12 12:17:55,839: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-12 12:17:55,842: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-12 12:17:55,845: INFO: common: created directory at: artifacts]
[2024-08-12 12:17:55,847: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-12 12:17:55,849: INFO: 3618191238: Downloading data from https://drive.google.com/file/d/1z0mreUtRmR-P-magILsDR3T7M6IkGXtY/view?usp=sharing into file artifacts/data_injestion/data.zip.]
[2024-08-12 12:19:20,261: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-12 12:19:20,264: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-12 12:19:20,266: INFO: common: created directory at: artifacts]
[2024-08-12 12:19:20,268: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-12 12:19:20,271: INFO: 1769679513: Downloading data from https://drive.google.com/file/d/1z0mreUtRmR-P-magILsDR3T7M6IkGXtY/view?usp=sharing into file artifacts/data_injestion/data.zip.]
[2024-08-12 12:20:21,764: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-12 12:20:21,767: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-12 12:20:21,769: INFO: common: created directory at: artifacts]
[2024-08-12 12:20:21,771: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-12 12:20:21,774: INFO: 1769679513: Downloading data from https://drive.google.com/file/d/1z0mreUtRmR-P-magILsDR3T7M6IkGXtY/view?usp=sharing into file artifacts/data_ingestion/data.zip.]
[2024-08-12 12:20:38,506: INFO: 1769679513: Downloaded data from https://drive.google.com/file/d/1z0mreUtRmR-P-magILsDR3T7M6IkGXtY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-12 13:11:36,324: INFO: main: Welcome to cnnClassifier]
[2024-08-12 13:11:36,324: INFO: main: >>>>>>>> stage Data Ingestion stage started <<<<<<<<]
[2024-08-12 13:11:36,326: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-12 13:11:36,360: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-12 13:11:36,380: INFO: common: created directory at: artifacts]
[2024-08-12 13:11:36,381: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-12 13:11:36,382: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1z0mreUtRmR-P-magILsDR3T7M6IkGXtY/view?usp=sharing into file artifacts/data_ingestion/data.zip.]
[2024-08-12 13:12:44,735: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1z0mreUtRmR-P-magILsDR3T7M6IkGXtY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-12 13:12:45,909: INFO: main: >>>>>>>> stage Data Ingestion stage completed <<<<<<<<

x================x]
